"Date","Subways: Total Estimated Ridership","Subways: % of Comparable Pre-Pandemic Day","Buses: Total Estimated Ridership","Buses: % of Comparable Pre-Pandemic Day","LIRR: Total Estimated Ridership","LIRR: % of Comparable Pre-Pandemic Day","Metro-North: Total Estimated Ridership","Metro-North: % of Comparable Pre-Pandemic Day","Access-A-Ride: Total Scheduled Trips","Access-A-Ride: % of Comparable Pre-Pandemic Day","Bridges and Tunnels: Total Traffic","Bridges and Tunnels: % of Comparable Pre-Pandemic Day","Staten Island Railway: Total Estimated Ridership","Staten Island Railway: % of Comparable Pre-Pandemic Day"
"07/10/2020","1,030,632","20%","25,544","1%","55,929","18%","29,683","10%","15,738","56%","712,635","74%","2,117","15%"
"07/11/2020","692,977","25%","12,872","1%","30,059","24%","18,683","12%","8,453","53%","625,288","68%","812","16%"
"07/12/2020","628,187","27%","10,966","1%","34,905","33%","19,859","19%","7,395","45%","703,589","80%","731","20%"
"07/13/2020","1,175,700","22%","33,302","2%","66,384","21%","31,876","11%","15,928","56%","756,122","79%","2,504","18%"
"07/14/2020","1,241,080","24%","35,391","2%","66,321","21%","31,921","11%","17,081","60%","794,837","83%","2,669","19%"
"07/15/2020","1,248,413","24%","34,701","2%","66,549","21%","32,603","12%","18,149","64%","803,399","84%","2,751","20%"
"07/16/2020","1,249,128","24%","34,199","2%","66,732","21%","33,258","12%","17,230","61%","819,850","85%","2,756","20%"
"07/17/2020","1,207,265","23%","29,696","1%","64,806","20%","35,414","13%","16,401","58%","819,471","85%","2,427","18%"
"07/18/2020","778,936","28%","14,335","1%","41,235","32%","24,071","16%","9,785","62%","747,444","81%","786","15%"
"07/19/2020","584,994","25%","9,845","1%","36,429","35%","18,675","18%","7,052","43%","696,110","79%","504","14%"
"07/20/2020","1,156,735","22%","30,196","1%","67,721","21%","32,279","11%","15,957","56%","770,606","80%","2,428","18%"
"07/21/2020","1,241,819","24%","32,482","2%","67,594","21%","33,213","12%","16,831","59%","792,954","82%","2,725","20%"
"07/22/2020","1,233,668","23%","33,863","2%","65,348","21%","32,485","11%","17,582","62%","784,013","82%","2,716","20%"
"07/23/2020","1,233,795","23%","33,999","2%","65,637","21%","32,975","12%","17,056","60%","791,577","82%","2,632","19%"
"07/24/2020","1,218,138","23%","29,987","1%","65,889","21%","36,639","13%","17,311","61%","826,030","86%","2,511","18%"
"07/25/2020","816,604","29%","14,777","1%","43,340","34%","25,173","16%","10,350","65%","769,898","83%","799","16%"
"07/26/2020","606,910","26%","9,711","1%","36,164","35%","20,170","19%","7,429","45%","697,533","79%","542","15%"
"07/27/2020","1,203,503","23%","32,072","2%","70,114","22%","31,568","11%","16,607","59%","793,224","83%","2,626","19%"
"07/28/2020","1,241,770","24%","33,753","2%","66,687","21%","31,677","11%","16,892","60%","782,225","81%","2,635","19%"
"07/29/2020","1,296,102","25%","35,257","2%","69,995","22%","33,733","12%","18,216","64%","816,959","85%","2,778","20%"
"07/30/2020","1,270,172","24%","33,982","2%","68,958","22%","34,122","12%","17,333","61%","820,274","85%","2,746","20%"
"07/31/2020","1,258,539","24%","29,917","1%","67,648","21%","38,040","13%","17,654","62%","859,774","89%","2,429","18%"
"08/01/2020","842,468","29%","16,087","1%","44,405","33%","26,261","17%","10,685","64%","799,744","83%","904","19%"
"08/02/2020","590,060","25%","9,874","1%","30,502","29%","17,885","17%","7,431","41%","648,735","70%","615","17%"
"08/03/2020","1,272,996","25%","36,945","2%","70,779","23%","32,884","12%","17,594","63%","818,732","84%","2,955","22%"
"08/04/2020","1,027,187","20%","29,426","1%","36,835","12%","22,286","8%","14,924","53%","577,415","59%","1,499","11%"
"08/05/2020","1,348,202","26%","38,283","2%","58,005","19%","26,598","10%","18,299","66%","847,329","87%","2,824","21%"
"08/06/2020","1,334,694","26%","37,059","2%","66,671","21%","28,283","10%","19,117","68%","847,497","87%","3,125","23%"
"08/07/2020","1,283,894","25%","32,170","2%","65,969","21%","32,882","12%","17,502","63%","844,096","87%","2,741","20%"
"08/08/2020","833,287","28%","15,143","1%","41,729","31%","23,513","15%","10,613","64%","730,738","76%","806","17%"
"08/09/2020","662,993","28%","11,534","1%","37,616","36%","20,503","20%","8,287","46%","744,618","81%","649","18%"
"08/10/2020","1,275,268","25%","34,883","2%","73,548","24%","33,500","12%","18,178","65%","826,000","85%","2,995","22%"
"08/11/2020","1,319,814","26%","36,426","2%","72,436","23%","33,509","12%","18,546","66%","821,975","85%","3,164","24%"
"08/12/2020","1,298,963","25%","36,053","2%","68,345","22%","33,736","12%","19,346","69%","800,864","82%","3,124","23%"
"08/13/2020","1,291,277","25%","34,723","2%","69,223","22%","33,822","12%","18,608","67%","819,018","84%","2,971","22%"
"08/14/2020","1,355,786","26%","32,713","2%","72,916","23%","39,342","14%","18,113","65%","893,657","92%","3,012","23%"
"08/15/2020","860,789","29%","15,522","1%","46,806","35%","27,677","18%","11,487","69%","804,345","84%","974","21%"
"08/16/2020","554,451","23%","8,603","1%","29,858","29%","18,164","17%","7,902","44%","620,685","67%","529","15%"
"08/17/2020","1,304,485","25%","34,768","2%","74,453","24%","35,362","13%","17,377","62%","806,108","83%","3,058","23%"
"08/18/2020","1,369,617","27%","36,646","2%","74,213","24%","34,361","13%","19,274","69%","838,007","86%","2,951","22%"
"08/19/2020","1,292,148","25%","34,181","2%","70,104","22%","34,377","13%","19,915","71%","816,805","84%","2,783","21%"
"08/20/2020","1,410,489","27%","35,059","2%","75,643","24%","37,078","14%","19,344","69%","889,781","92%","2,960","22%"
"08/21/2020","1,387,463","27%","31,342","2%","76,062","24%","41,110","15%","19,035","68%","909,773","94%","2,769","21%"
"08/22/2020","882,522","30%","13,705","1%","49,095","37%","27,784","18%","11,456","69%","812,307","85%","871","18%"
"08/23/2020","671,560","28%","9,698","1%","37,891","36%","22,496","22%","8,297","46%","737,096","80%","633","18%"
"08/24/2020","1,307,345","25%","34,021","2%","75,145","24%","35,904","13%","17,643","63%","815,664","84%","2,756","21%"
"08/25/2020","1,346,490","26%","34,993","2%","73,331","23%","35,689","13%","18,682","67%","821,596","85%","2,845","21%"
"08/26/2020","1,407,639","27%","35,975","2%","76,583","24%","36,621","13%","20,659","74%","859,624","88%","3,012","23%"
"08/27/2020","1,358,272","26%","33,969","2%","73,060","23%","35,551","13%","19,271","69%","847,284","87%","2,856","21%"
"08/28/2020","1,388,583","27%","31,956","2%","76,114","24%","41,222","15%","18,845","67%","899,891","93%","2,716","20%"
"08/29/2020","773,667","26%","14,035","1%","37,641","28%","22,234","15%","9,814","59%","645,955","67%","798","17%"
"08/30/2020","748,061","31%","16,027","1%","45,147","43%","26,520","26%","9,752","54%","805,095","87%","825","23%"
"08/31/2020","1,397,264","27%","787,291","39%","78,122","25%","37,727","14%","18,185","65%","817,543","84%","3,184","24%"
"09/01/2020","1,469,274","25%","947,758","41%","76,483","23%","36,035","12%","18,929","64%","809,684","85%","3,217","19%"
"09/02/2020","1,487,969","26%","972,213","42%","77,585","24%","36,159","13%","19,990","67%","810,144","85%","3,192","19%"
"09/03/2020","1,529,185","26%","1,022,623","44%","82,554","25%","39,920","14%","19,992","67%","869,126","91%","3,327","19%"
"09/04/2020","1,568,385","27%","1,030,811","44%","88,345","27%","47,152","16%","20,223","68%","936,602","98%","3,148","18%"
"09/05/2020","1,013,725","31%","715,922","51%","50,550","43%","34,621","23%","12,118","71%","798,822","84%","21","1%"
"09/06/2020","819,409","32%","559,273","51%","44,727","45%","28,565","27%","10,160","59%","753,035","85%","191","7%"
"09/07/2020","870,964","34%","615,802","56%","80,050","81%","27,326","26%","9,261","54%","697,865","79%","1,210","41%"
"09/08/2020","1,555,816","27%","1,039,401","45%","90,603","28%","42,963","15%","19,806","67%","833,995","88%","3,496","20%"
"09/09/2020","1,610,076","28%","1,072,887","46%","86,063","26%","41,954","15%","21,801","73%","825,411","87%","3,586","21%"
"09/10/2020","1,543,662","27%","997,030","43%","82,142","25%","39,296","14%","20,181","68%","801,431","84%","3,403","20%"
"09/11/2020","1,690,334","29%","1,070,920","46%","88,582","27%","47,781","17%","20,809","70%","895,765","94%","3,442","20%"
"09/12/2020","1,083,698","34%","752,875","54%","44,546","38%","32,400","21%","12,349","72%","800,189","84%","29","1%"
"09/13/2020","796,740","31%","557,231","51%","36,686","37%","24,009","23%","9,315","54%","703,809","80%","4","0%"
"09/14/2020","1,604,381","28%","1,065,601","46%","89,498","27%","41,286","14%","19,888","67%","799,572","84%","3,515","21%"
"09/15/2020","1,678,078","29%","1,091,806","47%","87,025","27%","41,288","14%","20,763","70%","815,699","86%","3,696","22%"
"09/16/2020","1,686,909","29%","1,097,389","47%","87,034","27%","41,417","14%","22,070","74%","816,708","86%","3,496","20%"
"09/17/2020","1,692,368","29%","1,094,592","47%","86,854","27%","42,339","15%","21,005","71%","848,024","89%","3,617","21%"
"09/18/2020","1,725,443","30%","1,083,295","47%","90,657","28%","48,213","17%","20,702","70%","894,931","94%","3,367","20%"
"09/19/2020","1,136,947","35%","752,437","54%","46,777","40%","34,608","23%","12,246","71%","802,613","84%","1,001","24%"
"09/20/2020","827,605","33%","558,863","51%","38,973","39%","26,328","25%","9,269","54%","705,596","80%","760","26%"
"09/21/2020","1,624,139","28%","1,058,256","46%","89,706","27%","41,901","15%","19,488","66%","788,504","83%","3,497","20%"
"09/22/2020","1,698,504","29%","1,095,678","47%","87,376","27%","41,389","14%","21,103","71%","808,350","85%","3,821","22%"
"09/23/2020","1,735,333","30%","1,119,904","48%","88,998","27%","42,506","15%","22,501","76%","834,468","88%","3,710","22%"
"09/24/2020","1,722,364","30%","1,107,707","48%","89,129","27%","42,969","15%","21,554","73%","857,578","90%","3,816","22%"
"09/25/2020","1,761,591","31%","1,110,956","48%","92,506","28%","49,819","17%","21,233","72%","912,599","96%","3,708","22%"
"09/26/2020","1,120,143","35%","755,197","54%","47,169","40%","35,771","23%","12,128","71%","824,514","86%","32","1%"
"09/27/2020","846,179","33%","576,684","52%","39,994","40%","28,480","27%","9,491","55%","731,090","83%","5","0%"
"09/28/2020","1,489,240","26%","985,185","42%","89,664","27%","43,237","15%","17,678","60%","753,158","79%","3,371","20%"
"09/29/2020","1,661,264","29%","1,057,135","46%","88,444","27%","40,515","14%","20,517","69%","790,861","83%","3,632","21%"
"09/30/2020","1,740,820","30%","1,101,663","47%","89,223","27%","41,967","15%","21,424","72%","822,682","86%","3,704","22%"
"10/01/2020","1,809,958","31%","1,159,859","51%","86,082","27%","42,390","15%","22,309","75%","870,605","94%","4,003","22%"
"10/02/2020","1,790,612","31%","1,115,793","49%","87,291","28%","48,883","17%","21,626","73%","891,268","96%","3,589","20%"
"10/03/2020","1,168,040","35%","777,674","56%","45,018","40%","36,907","24%","12,759","72%","810,625","86%","33","1%"
"10/04/2020","852,830","35%","570,608","57%","34,976","38%","27,667","26%","10,010","54%","706,562","84%","761","20%"
"10/05/2020","1,678,792","29%","1,102,675","49%","88,694","28%","42,257","15%","19,971","67%","783,540","84%","3,587","20%"
"10/06/2020","1,758,454","31%","1,137,217","50%","87,748","28%","43,803","15%","21,475","72%","802,900","87%","3,866","22%"
"10/07/2020","1,770,617","31%","1,123,231","50%","87,119","28%","43,534","15%","23,027","77%","814,866","88%","3,791","21%"
"10/08/2020","1,798,005","31%","1,126,770","50%","87,959","28%","44,802","15%","21,964","74%","845,788","91%","3,913","22%"
"10/09/2020","1,808,079","31%","1,117,172","50%","78,663","25%","52,686","18%","21,274","71%","896,404","97%","3,700","21%"
"10/10/2020","1,170,227","35%","771,088","55%","44,528","39%","41,409","27%","12,627","71%","823,775","87%","1,430","31%"
"10/11/2020","848,469","35%","564,051","56%","34,593","38%","28,784","27%","9,470","52%","692,668","82%","1,049","28%"
"10/12/2020","1,284,655","22%","767,564","34%","76,776","24%","39,838","14%","15,722","53%","685,981","74%","2,237","13%"
"10/13/2020","1,715,183","30%","1,063,680","47%","76,552","24%","42,205","15%","20,909","70%","765,671","82%","3,670","21%"
"10/14/2020","1,838,682","32%","1,162,256","52%","89,173","28%","45,148","16%","23,169","78%","824,528","89%","3,956","22%"
"10/15/2020","1,853,753","32%","1,152,434","51%","90,288","29%","46,249","16%","22,834","77%","866,244","93%","4,069","23%"
